ACTG2	0001537, 0100544, 0000003, 0001539, 0000774, 0001798, 0003270, 0002566, 0100806, 0000072, 0100490, 0000843, 0002251, 0000076, 0010318, 0001166, 0000463, 0000337, 0000021, 0030680, 0001561, 0000347, 0000028, 0002017, 0100771, 0003363, 0004388, 0000426, 0001387, 0000175, 0000368, 0001522, 0000311, 0000252, 
ISCA2	0001344, 0002518, 0000007, 0000648, 0001257, 0002415, 
ACTN4	0003073, 0000097, 0003828, 0003077, 0003829, 0000006, 0000822, 0000969, 0003677, 0000093, 0003774, 0001903, 
ACTN1	0001873, 0000421, 0011877, 0000006, 0011273, 
ACTN2	0003457, 0100578, 0003812, 0003236, 0000006, 0001706, 0001644, 0001678, 0001712, 0001874, 0005110, 0000982, 0000407, 0030682, 0006685, 0003198, 0001695, 
ACVR1	0008449, 0010054, 0000006, 0003016, 0001482, 0010058, 0003468, 0100240, 0011987, 0011988, 0011989, 0004629, 0000405, 0000407, 0002650, 0006429, 0001822, 0001376, 0001249, 0001250, 0001508, 0003306, 0002093, 0000365, 0001903, 0000687, 0004209, 0010034, 0000501, 0001596, 0010109, 0002878, 
KDM5D	0001450, 0000027, 
ACVR2B	0001651, 0012020, 0010452, 0000006, 0006695, 0001629, 
ACVRL1	0001409, 0000646, 0000006, 0000524, 0002573, 0001935, 0001425, 0000787, 0002707, 0006548, 0000790, 0002326, 0001048, 0100761, 0030491, 0002204, 0002076, 0001694, 0000421, 0002092, 0002604, 0002094, 0006574, 0100784, 0000434, 0000822, 0004406, 0001081, 0002105, 0001082, 0001342, 0002239, 0000961, 0001217, 0002629, 0004936, 0002248, 0002249, 0200008, 0001232, 0007763, 0002390, 0000214, 0000471, 0002138, 0006107, 0002140, 0030049, 0001250, 0001635, 0000227, 0100585, 0002408, 0001901, 0001903, 0001394, 0001399, 0002040, 0007420, 
ACY1	0001250, 0003812, 0000007, 0001290, 0002059, 0002188, 0001324, 0001263, 0000431, 0000752, 0000407, 0001272, 0000316, 0006846, 
USP9Y	0003251, 0011961, 0001450, 0000027, 0000028, 0000798, 0008734, 
ARID1A	0001792, 0001156, 0000518, 0000006, 0000776, 0001290, 0000527, 0100371, 0009239, 0000280, 0001305, 0009882, 0000154, 0000028, 0002205, 0000286, 0000158, 0002079, 0002719, 0005280, 0011937, 0002209, 0000164, 0000294, 0008872, 0002217, 0200105, 0200104, 0007598, 0000431, 0000175, 0000179, 0002230, 0001338, 0005692, 0000445, 0000574, 0002750, 0007360, 0011968, 0000322, 0000965, 0003272, 0000457, 0008398, 0000463, 0000086, 0030680, 0002650, 0001249, 0003042, 0006498, 0004322, 0003298, 0001250, 0001252, 0008678, 0000486, 0000998, 0001511, 0009835, 0000365, 0000750, 0001263, 0002673, 0005108, 0000632, 0002808, 0000889, 0000505, 0001273, 0000377, 0000252, 0000508, 0000126, 0000639, 
DYSF	0009025, 0003458, 0003555, 0003236, 0003557, 0200101, 0000007, 0003560, 0007340, 0003693, 0003791, 0009072, 0001425, 0010546, 0003701, 0009046, 0002460, 0003581, 0003677, 0003678, 0003551, 
COLQ	0003554, 0000007, 0008872, 0003593, 0003690, 0001290, 0003307, 0003403, 0001260, 0003436, 0001612, 0002093, 0003473, 0003443, 0000597, 0002650, 0002747, 0002715, 0000508, 0003388, 0003324, 0003199, 0002015, 
ADA	0000007, 0000907, 0003212, 0002960, 0002841, 0001945, 0008348, 0002716, 0000926, 0002718, 0012191, 0002720, 0002850, 0001442, 0001831, 0100646, 0002090, 0001967, 0005424, 0001072, 0000944, 0002099, 0001973, 0000821, 0001596, 0000958, 0002240, 0030273, 0100806, 0000969, 0004429, 0004430, 0001744, 0002644, 0001880, 0000989, 0002014, 0010976, 0001890, 0001508, 0000100, 0100840, 0002665, 0004332, 0002028, 0005359, 0001903, 0005365, 0000246, 0001019, 0007549, 
ADAM10	0000006, 
ADAR	0002371, 0000006, 0000007, 0002376, 0003593, 0002187, 0001357, 0002063, 0007441, 0002514, 0002132, 0001878, 0004374, 0001304, 0002139, 0001250, 0001257, 0006957, 0002415, 0001263, 0000625, 0001332, 0007988, 0011509, 0001337, 0000252, 0000508, 0012733, 0000639, 
PLEKHG5	0009473, 0001284, 0011463, 0000007, 0002515, 0002650, 0002460, 0003678, 0003551, 0001761, 0001762, 0007269, 0001765, 0003431, 0003307, 0003693, 0003697, 0002355, 0008180, 0003445, 0003701, 0002936, 0002747, 0003387, 0002366, 
ADCY1	0000007, 0000399, 
KLRC4	0008066, 0010885, 0000518, 0100614, 0001287, 0001288, 0001289, 0002829, 0002321, 0100758, 0001945, 0002202, 0000155, 0002204, 0002716, 0002076, 0001824, 0001701, 0001061, 0006824, 0100654, 0002354, 0002102, 0002105, 0100796, 0002239, 0002113, 0001347, 0004420, 0001733, 0002376, 0004936, 0002633, 0003401, 0001097, 0001482, 0002637, 0002383, 0001744, 0000083, 0002516, 0100820, 0007256, 0001369, 0012378, 0200034, 0000737, 0002017, 0001250, 0011107, 0001251, 0000613, 0001637, 0100326, 0000488, 0002024, 0100584, 0000618, 0002027, 0001653, 0001269, 0002039, 0001658, 0001659, 0003326, 
ADCY5	0001635, 0001347, 0000739, 0003621, 0000006, 0001288, 0008936, 0001644, 0001260, 0002509, 0002322, 0001332, 0100660, 0001270, 0002072, 0000317, 
SLITRK1	0010529, 0000722, 0001426, 0100035, 0100034, 0000006, 0000742, 0012167, 0002360, 0007018, 0001596, 0000718, 
ADCY6	0001376, 0003457, 0002098, 0001315, 0001252, 0001284, 0002804, 0001349, 0000007, 0001290, 0200136, 
BRWD3	0000256, 0000400, 0001763, 0000276, 0011220, 0002007, 0001256, 0000378, 0001290, 0001419, 0000028, 0000750, 
GATAD2B	0100033, 0002465, 0000322, 0000581, 0000486, 0000006, 0100807, 0008070, 0001319, 0000455, 0003593, 0000490, 0000748, 0010511, 0000431, 0001263, 0000752, 0010864, 0000337, 0000154, 0000219, 0000316, 0000540, 0002463, 
ACOX2	0100512, 0001350, 0045014, 0000007, 0001256, 0003593, 0002570, 0001310, 0000750, 0000511, 0001263, 
AXIN1	0001425, 0003762, 0001428, 0001413, 0000006, 0000073, 0001402, 0006572, 
ADD3	0002465, 0000577, 0001250, 0000007, 0003593, 0002510, 0001263, 0001264, 0003828, 0007256, 0000252, 0000605, 0100543, 0002015, 0000639, 
TBC1D24	0000737, 0001730, 0002373, 0000006, 0007207, 0000007, 0001256, 0002376, 0002121, 0007018, 0002123, 0001260, 0000365, 0000718, 0001326, 0010862, 0001263, 0001268, 0001112, 0001336, 0003677, 0002463, 
AXIN2	0005584, 0006753, 0002209, 0000691, 0006740, 0000677, 0000006, 0000327, 0002891, 0000347, 0005227, 0006716, 
BAP1	0030786, 0011524, 0000006, 0001480, 0002894, 0030800, 0012054, 0012055, 0002071, 0012056, 0200026, 0100763, 0000539, 0012508, 0000541, 0007902, 0006753, 0007906, 0007716, 0010920, 0000488, 0002858, 0011499, 0100013, 0002861, 0008494, 0100533, 0003764, 0001595, 0000572, 0000958, 0030078, 
SLC12A5	0001249, 0003781, 0007334, 0000007, 0003593, 0002059, 0002540, 0002188, 0005484, 0001263, 0002133, 0007256, 0006813, 
CDC45	0100867, 0011267, 0000772, 0006660, 0000260, 0000007, 0000520, 0001674, 0100490, 0002705, 0045074, 0000278, 0003100, 0000028, 0000413, 0000160, 0008736, 0000545, 0002979, 0100258, 0009892, 0000039, 0002089, 0005930, 0006443, 0100783, 0000047, 0000175, 0001328, 0000176, 0002098, 0003510, 0000054, 0012471, 0000059, 0007099, 0005692, 0000060, 0002878, 0002750, 0000064, 0011968, 0000193, 0001217, 0012227, 0000453, 0000327, 0000076, 0009939, 0001363, 0004691, 0008665, 0000218, 0004442, 0002650, 0000347, 0001629, 0001631, 0001249, 0003042, 0004322, 0006498, 0001508, 0004325, 0000358, 0000486, 0001511, 0002023, 0008551, 0002025, 0001388, 0000365, 0001263, 0004209, 0000369, 0000252, 0000253, 
FZD4	0007685, 0002757, 0000006, 0003593, 0000618, 0030666, 0000523, 0007917, 0001518, 0001103, 0007663, 0001136, 0001489, 0001493, 0001622, 0030490, 0001146, 0001147, 0000541, 0003677, 0007902, 
FZD6	0000007, 0012542, 0001806, 
ADK	0000256, 0001410, 0003202, 0000007, 0003593, 0001290, 0002059, 0001680, 0002007, 0000407, 0002904, 0003676, 0002910, 0001631, 0002465, 0001250, 0003235, 0001508, 0001642, 0000750, 0001263, 0006580, 0001396, 0001397, 0001786, 0000316, 
SHROOM4	0005280, 0001250, 0004322, 0001762, 0002020, 0000486, 0001417, 0002827, 0002187, 0001773, 0001263, 0001007, 0000752, 0003763, 0200055, 0002808, 0002650, 0000252, 0000316, 0000286, 
GFI1B	0003010, 0000421, 0000006, 0011974, 0000007, 0003337, 0003593, 0000140, 0012526, 0002863, 0001744, 0001872, 0001873, 0000978, 0003828, 0002239, 
TTC8	0000512, 0003202, 0008323, 0000003, 0000518, 0000007, 0000135, 0000648, 0001162, 0008724, 0000405, 0000662, 0000407, 0007703, 0000028, 0008736, 0001696, 0007843, 0000035, 0000426, 0000431, 0000047, 0000563, 0000822, 0002230, 0007737, 0100543, 0001347, 0000580, 0000842, 0010442, 0000463, 0006101, 0000470, 0000602, 0005978, 0000987, 0000608, 0001249, 0004322, 0000100, 0000613, 0001513, 0000618, 0000365, 0008046, 0000494, 0000110, 0007663, 0001263, 0000368, 0001395, 0000501, 0002167, 0000248, 0000505, 0011003, 0007675, 0010747, 0000510, 0000639, 
PTCHD1	0001249, 
